rowNumber,Date,Company,Level,Title,TCOMP,Location,YearsOfExperience,YearsOfService,Tag,BaseSalary,StockGrant,Bonus,Gender,CityId
7007,2019-03-23,AMAZON,L4,Software Engineer,115.0,"Seattle, WA",0,0,API Development (Back-End),73.0,23.0,19.0,Male,11527
7049,2019-03-25,AMAZON,5,Software Engineer,290.0,"Seattle, WA",5,3,API Development (Back-End),178.0,112.0,0.0,Male,11527
7103,2019-03-26,AMAZON,L4,Software Engineer,167.0,"Seattle, WA",2,4,Distributed Systems (Back-End),89.0,78.0,0.0,Male,11527
7135,2019-03-27,AMAZON,SDE II,Software Engineer,132.0,"Seattle, WA",3,3,Distributed Systems (Back-End),115.0,17.0,0.0,Male,11527
7158,2019-03-28,AMAZON,L6,Software Engineer,254.0,"Seattle, WA",17,15,ML / AI,162.0,92.0,0.0,NotDisclosed,11527
7172,2019-03-28,AMAZON,L5,Software Engineer,232.0,"Seattle, WA",9,5,Networking,141.0,91.0,0.0,Male,11527
7203,2019-03-29,AMAZON,SDE I,Software Engineer,203.0,"Seattle, WA",3,4,Full Stack,158.0,30.0,15.0,Male,11527
7214,2019-03-29,AMAZON,SDE I,Software Engineer,157.0,"Seattle, WA",0,0,Web Development (Front-End),128.0,23.0,6.0,Male,11527
7230,2019-03-30,AMAZON,SDE II,Software Engineer,116.0,"Seattle, WA",12,7,Distributed Systems (Back-End),87.0,29.0,0.0,Male,11527
7279,2019-03-31,AMAZON,L4,Software Engineer,168.0,"Seattle, WA",0,0,API Development (Back-End),142.0,4.0,22.0,NotDisclosed,11527
7308,2019-04-01,AMAZON,SDE I,Software Engineer,157.0,"Seattle, WA",2,0,Security,108.0,6.0,43.0,Male,11527
7370,2019-04-02,AMAZON,L4,Software Engineer,172.0,"Seattle, WA",0,1,Distributed Systems (Back-End),128.0,11.0,33.0,Male,11527
7470,2019-04-05,AMAZON,L4,Software Engineer,270.0,"Seattle, WA",1,1,ML / AI,207.0,41.0,22.0,Male,11527
7473,2019-04-05,AMAZON,L4,Software Engineer,219.0,"Seattle, WA",1,0,Distributed Systems (Back-End),177.0,14.0,28.0,Female,11527
7543,2019-04-08,AMAZON,SDE I,Software Engineer,183.0,"Seattle, WA",0,0,Full Stack,143.0,27.0,13.0,Male,11527
7615,2019-04-10,AMAZON,L5,Software Engineer,189.0,"Seattle, WA",7,3,Full Stack,106.0,83.0,0.0,Male,11527
7618,2019-04-10,AMAZON,SDE I,Software Engineer,212.0,"Seattle, WA",1,0,API Development (Back-End),181.0,9.0,22.0,Male,11527
7634,2019-04-10,AMAZON,L5,Software Engineer,162.0,"Seattle, WA",5,5,API Development (Back-End),90.0,72.0,0.0,Male,11527
7636,2019-04-10,AMAZON,L5,Software Engineer,284.0,"Seattle, WA",6,0,API Development (Back-End),198.0,45.0,41.0,Male,11527
7652,2019-04-11,AMAZON,L5,Software Engineer,237.0,"Seattle, WA",9,7,Distributed Systems (Back-End),203.0,34.0,0.0,NotDisclosed,11527
7666,2019-04-11,AMAZON,SDE I,Software Engineer,208.0,"Seattle, WA",1,0,Distributed Systems (Back-End),165.0,14.0,29.0,Male,11527
7671,2019-04-11,AMAZON,L5,Software Engineer,185.0,"Seattle, WA",11,4,API Development (Back-End),119.0,66.0,0.0,Male,11527
7768,2019-04-14,AMAZON,L5,Software Engineer,152.0,"Seattle, WA",3,4,Distributed Systems (Back-End),74.0,78.0,0.0,Male,11527
7769,2019-04-14,AMAZON,L5,Software Engineer,175.0,"Seattle, WA",3,4,Distributed Systems (Back-End),140.0,35.0,0.0,Male,11527
7810,2019-04-15,AMAZON,L5,Software Engineer,272.0,"Seattle, WA",5,3,API Development (Back-End),204.0,68.0,0.0,NotDisclosed,11527
7859,2019-04-16,AMAZON,L4,Software Engineer,199.0,"Seattle, WA",8,1,Full Stack,174.0,17.0,8.0,Male,11527
7875,2019-04-17,AMAZON,SDE III,Software Engineer,183.0,"Seattle, WA",6,4,API Development (Back-End),110.0,73.0,0.0,Male,11527
7894,2019-04-17,AMAZON,L5,Software Engineer,108.0,"Seattle, WA",3,1,Web Development (Front-End),82.0,23.0,3.0,Male,11527
7900,2019-04-18,AMAZON,L5,Software Engineer,240.0,"Seattle, WA",6,7,Full Stack,137.0,103.0,0.0,Male,11527
7912,2019-04-18,AMAZON,SDE I,Software Engineer,147.0,"Seattle, WA",0,0,Full Stack,138.0,9.0,0.0,Male,11527
